=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.04.14 15:23:42 =~=~=~=~=~=~=~=~=~=~=~=
Started
Initializing Accelerometer, Magnetometer, and Gyroscope
X_a,Y_a,Z_a,X_m,Y_m,Z_m,X_g,Y_g,Z_g
,,,-42.69,49.69,-52.28,,,
0.00,-0.03,0.95,-41.96,49.85,-52.08,0.24,0.12,0.24
0.00,-0.03,0.96,-42.99,49.89,-52.25,0.24,0.12,0.18
0.00,-0.03,0.96,-43.19,49.27,-51.78,0.18,0.00,0.12
0.01,-0.03,0.96,-42.04,50.28,-51.64,0.43,0.06,0.12
0.00,-0.03,0.96,-42.46,49.69,-51.98,0.12,-0.06,0.00
0.00,-0.03,0.96,-42.90,50.49,-51.95,0.43,0.00,0.12
0.00,-0.03,0.96,-43.03,49.96,-52.99,0.37,0.12,0.12
0.00,-0.03,0.96,-42.68,49.98,-53.94,0.37,0.18,0.24
0.00,-0.03,0.96,-42.79,49.68,-51.04,0.31,0.00,0.12
0.00,-0.03,0.96,-42.77,49.24,-51.77,0.31,0.12,0.12
0.00,-0.03,0.96,-42.49,49.91,-52.99,0.31,-0.06,0.06
0.00,-0.03,0.96,-42.77,49.79,-51.90,0.31,0.00,0.12
0.00,-0.03,0.96,-42.68,49.71,-51.44,0.37,0.18,0.24
0.00,-0.03,0.96,-42.90,49.78,-52.88,0.24,0.12,0.12
0.00,-0.03,0.96,-42.66,49.85,-52.12,0.43,0.00,0.12
0.00,-0.03,0.97,-42.71,50.29,-52.05,0.37,-0.12,0.18
0.01,-0.03,0.97,-42.63,49.69,-50.98,0.37,0.12,0.12
0.00,-0.03,0.97,-42.38,49.84,-52.75,0.31,0.06,0.00
0.00,-0.03,0.97,-42.76,50.34,-52.88,0.43,0.12,0.12
0.00,-0.03,0.97,-42.21,50.05,-52.21,0.43,0.12,0.06
0.00,-0.03,0.96,-42.99,50.24,-51.84,0.43,0.06,0.00
0.01,-0.03,0.97,-42.81,50.52,-53.54,0.37,0.00,0.00
0.00,-0.03,0.96,-42.99,50.48,-53.60,0.37,-0.12,0.12
0.00,-0.03,0.97,-42.80,49.62,-52.53,0.43,0.06,0.06
0.00,-0.03,0.97,-42.96,50.09,-52.72,0.06,-0.06,0.12
0.00,-0.03,0.97,-42.80,50.21,-53.48,0.49,0.06,0.12
0.00,-0.03,0.97,-42.57,49.66,-51.98,0.24,0.12,0.00
0.01,-0.03,0.97,-42.64,49.99,-53.59,0.49,0.00,0.12
0.00,-0.03,0.97,-42.98,50.18,-53.60,0.49,0.12,0.18
0.00,-0.03,0.97,-42.82,50.11,-53.37,0.49,0.18,0.18
0.00,-0.03,0.97,-42.90,50.22,-53.08,0.43,0.06,0.12
0.00,-0.03,0.97,-42.68,49.76,-52.66,0.37,0.00,0.12
0.00,-0.03,0.97,-42.99,50.35,-52.93,0.37,0.12,0.12
0.00,-0.03,0.97,-43.12,50.72,-52.26,0.43,0.18,0.18
0.00,-0.03,0.97,-42.48,49.98,-52.72,0.31,0.12,0.31
0.00,-0.03,0.97,-42.70,49.91,-53.89,0.55,0.06,0.06
0.01,-0.03,0.96,-42.60,50.63,-52.45,0.37,0.06,0.12
0.00,-0.03,0.97,-42.69,50.50,-53.59,0.18,0.00,0.18
0.00,-0.03,0.97,-43.35,50.50,-52.94,0.18,0.00,0.06
0.01,-0.03,0.96,-42.99,50.00,-52.51,0.31,0.00,0.12
0.00,-0.03,0.97,-42.54,50.43,-50.74,0.24,0.12,0.00
0.00,-0.03,0.97,-42.79,50.29,-51.75,0.37,-0.12,0.06
0.00,-0.03,0.96,-43.05,50.16,-52.38,0.18,0.06,0.12
0.00,-0.03,0.97,-42.63,50.35,-53.97,0.49,0.06,0.18
0.01,-0.03,0.96,-42.88,50.24,-53.02,0.61,0.12,0.18
0.00,-0.03,0.97,-42.63,50.07,-53.55,0.24,0.06,0.18
0.00,-0.03,0.97,-42.80,49.98,-52.81,0.49,0.12,0.12
0.00,-0.03,0.97,-42.57,50.44,-52.84,0.37,0.00,0.06
0.00,-0.03,0.97,-43.01,49.90,-53.83,0.37,-0.12,0.06
0.00,-0.03,0.96,-42.87,50.02,-52.99,0.43,0.24,0.12
0.01,-0.03,0.97,-42.77,50.20,-53.10,0.43,0.00,0.06
0.00,-0.03,0.97,-42.60,50.00,-52.84,0.61,-0.06,0.18
0.00,-0.03,0.97,-42.42,49.67,-53.15,0.43,0.00,0.06
0.01,-0.03,0.97,-42.75,49.98,-53.10,0.31,0.06,0.18
0.01,-0.03,0.97,-42.64,49.82,-53.44,0.55,0.18,0.18
0.00,-0.03,0.97,-42.94,50.11,-53.17,0.37,0.06,0.06
0.00,-0.03,0.97,-42.53,50.38,-52.61,0.43,0.24,0.06
0.00,-0.03,0.97,-43.32,50.29,-53.26,0.31,0.12,0.18
0.00,-0.03,0.97,-43.02,50.12,-53.59,0.37,0.18,0.24
0.00,-0.03,0.96,-42.24,50.01,-53.32,0.37,0.06,0.06
